title,company,url,source,posted,salary
Olli Health | Remote w&#x2F; Annual Travel | Full-Time | Senior Automation Engineer &amp; ML&#x2F;NLP Data Scientist | ollihealth.ai We are ,,https://news.ycombinator.com/item?id=45466687,HN Who is hiring,2025-10-03T19:17:01Z,
"Location: Utah (remote preferred) Remote: Yes Technologies: Laravel, Vue, React Native, JavaScript&#x2F;TypeScript, Supabase, PostgreSQL, AI",,https://news.ycombinator.com/item?id=46114447,HN Who is hiring,2025-12-01T22:44:44Z,
"SEEKING WORK | Full‑stack Python &amp; Django developer (AI Focus) Location: Thailand (UTC+7, outside Bangkok) Remote: Only Willing to reloc",,https://news.ycombinator.com/item?id=45470596,HN Who is hiring,2025-10-04T04:50:07Z,
Radiance | Founding Full-Stack + AI Engineer | Remote (Global) | Full-time | Competitive Salary + Meaningful Equity https:&#x2F;&#x2F;withra,,https://news.ycombinator.com/item?id=44441928,HN Who is hiring,2025-07-02T10:14:17Z,
Customer Support Executive  AI Platform,Sai Group Ltd,https://weworkremotely.com/remote-jobs/sai-group-ltd-customer-support-executive-ai-platform,We Work Remotely,"Fri, 10 Apr 2026 20:31:11 +0000",
Staff AI Product Builder,Brightwheel,https://weworkremotely.com/remote-jobs/brightwheel-staff-ai-product-builder,We Work Remotely,"Wed, 08 Apr 2026 20:32:11 +0000",
"Full-Stack Developer, AI Applications",Titan Ai,https://weworkremotely.com/remote-jobs/titan-ai-full-stack-developer-ai-applications,We Work Remotely,"Wed, 08 Apr 2026 20:32:08 +0000",
"Hi HN, Over the last few months we’ve been experimenting with a different direction for AI assistants. Most AI tools today live in the brows",,https://news.ycombinator.com/item?id=47352710,HN Who is hiring,2026-03-12T15:57:04Z,
Essential C# MCP Workshop: https:&#x2F;&#x2F;medhat.ca&#x2F;mcp.html Language models are revolutionising AI by enabling systems to generate ,,https://news.ycombinator.com/item?id=44556149,HN Who is hiring,2025-07-14T03:22:41Z,
Anthropic Fellows Program — AI Safety,Anthropic,https://job-boards.greenhouse.io/anthropic/jobs/5183044008,Greenhouse:anthropic,2026-05-06T18:20:31-04:00,
Anthropic Fellows Program — AI Security,Anthropic,https://job-boards.greenhouse.io/anthropic/jobs/5030244008,Greenhouse:anthropic,2026-05-06T18:20:50-04:00,
"Research Engineer/Research Scientist, Pre-training",Anthropic,https://job-boards.greenhouse.io/anthropic/jobs/4616971008,Greenhouse:anthropic,2026-04-08T18:43:26-04:00,
AI Engineer - FDE (Forward Deployed Engineer),Databricks,https://databricks.com/company/careers/open-positions/job?gh_jid=8099751002,Greenhouse:databricks,2026-04-09T16:51:11-04:00,
AI Engineer - FDE (Forward Deployed Engineer) - U.S. Federal Sector,Databricks,https://databricks.com/company/careers/open-positions/job?gh_jid=8531838002,Greenhouse:databricks,2026-04-30T13:55:04-04:00,
Data & AI Platform Architect (Professional Services),Databricks,https://databricks.com/company/careers/open-positions/job?gh_jid=8521090002,Greenhouse:databricks,2026-04-27T06:41:11-04:00,
"Delivery Solutions Architect - Communications, Media, Entertainment and Games",Databricks,https://databricks.com/company/careers/open-positions/job?gh_jid=8457249002,Greenhouse:databricks,2026-04-09T16:51:31-04:00,
"Director, Paid Media",Databricks,https://databricks.com/company/careers/open-positions/job?gh_jid=8337361002,Greenhouse:databricks,2026-04-28T20:00:20-04:00,
"Named Hunter Account Executive, Retail",Databricks,https://databricks.com/company/careers/open-positions/job?gh_jid=8405831002,Greenhouse:databricks,2026-04-27T13:16:48-04:00,
"Product Marketing Director, AI",Databricks,https://databricks.com/company/careers/open-positions/job?gh_jid=8487145002,Greenhouse:databricks,2026-04-10T19:01:15-04:00,
"Resident Solutions Architect - Communications, Media, Entertainment & Games",Databricks,https://databricks.com/company/careers/open-positions/job?gh_jid=8341311002,Greenhouse:databricks,2026-04-09T16:51:22-04:00,
(Native Norwegian) Customer Support Consultant (remotely),Supportyourapp,https://weworkremotely.com/remote-jobs/supportyourapp-native-norwegian-customer-support-consultant-remotely,We Work Remotely,"Thu, 09 Apr 2026 20:35:25 +0000",
Product Support Intern,Wati.io,https://weworkremotely.com/remote-jobs/wati-io-product-support-intern,We Work Remotely,"Thu, 09 Apr 2026 20:35:11 +0000",
CX Technical Content Design Intern (Summer 2026),Dropbox,https://weworkremotely.com/remote-jobs/dropbox-cx-technical-content-design-intern-summer-2026,We Work Remotely,"Thu, 09 Apr 2026 20:35:11 +0000",
